I can't recall what I said last time for this but not sure what we'd use it for...,1434358918481
So I think no unless you have a reason to take,1434358963238
Ok so we agree no?,1434358983058
agree no.,1434358999538
"\i think yes for this, may be helpful for eg making shelter, fire wood...",1434359042040
"so yes, good",1434359103739
"I think this may be too dangerous, though may need to shoot a bear, given where we are!",1434359153889
Only if someone would be able to use it safely.,1434359215458
"Ok, we'll say yes.",1434359302073
Not sure what we could use butter for.  Unless it's for eating in this dire emergency?,1434359368275
"ok, yes then.  If it's so cold, it won't melt.",1434359423164
newspaper would be handy as fire lighting and extra layer if trying to keep warm.,1434359495134
yes!,1434359562504
couldn't think of a use for lighter without fluid...,1434359597235
some survival expert may know of a use but I think no here.,1434359633247
extra clothes good idea I think - could wear them.,1434359691988
"Wear rather than carry, I think as cold weather",1434359720991
I think they are definitely worth taking.,1434359756626
ok.,1434359785135
"canvas useful as shelter, even if large and heavy to carry.",1434359823440
agreed.  must be some stronger people who could manage it.,1434359875673
"yes, think that's best.",1434359917217
"map only a part, but may also help as shelter as plastic.",1434359979574
"sorry, just read sectional air map, rather than just a section.",1434360036594
"any way, agree useful so should take.",1434360054858
Whisky to anaesthetise everyone?,1434360103892
don't think it's needed!,1434360134891
dangerous to have whisky and a loaded gun!,1434360151586
agree no.,1434360193370
compass useful,1434360215531
"yes,  I agree",1434360227527
"chocolate full of calories, so useful",1434360271949
bear probably more keen to eat a human!,1434360287409
I'm now wondering why there was a loaded pistol on the flight...,1434360331800
I think we only need to ubmit them.,1434360376918
scary thought.  Glad this is only a theoretical exercise.,1434360418498
"ok, let's submit answers. Interesting chat!",1434360444557
hope you like your new home!,1434360511096
